# Emoji suggestion keywords, generated by tools/generate_emoji_keywords.py
# from Unicode CLDR emoji annotations (English).
# Data (c) Unicode, Inc. - https://www.unicode.org/copyright.html
# License: https://www.unicode.org/license.txt
# Format: keyword<TAB>emoji,emoji,... (best suggestion first).
# Hand-tuned aliases (e.g. 'taking off', 'lol') are merged into the
# table by the generator's ALIASES dict — edit there and regenerate.
ab	🆎
doctor	😷,🧑‍⚕,👨‍⚕,👩‍⚕,🏥,🥼,💉,💊,🩺,🩻
document	📃,📄,🪪
dodo	🦤
dog	🐶,🐕,🌭,🦴,🦮,🐕‍🦺,🐩
dogs	🐕
doll	🎎,🪆
dollar	💰,🪙,💵,💸,💲
dolls	🎎,🪆
dolphin	🐬
donation	🩸
done	💅
donkey	🫏
donut	🍩
doo	💩
door	🚪
dope	👌
dot	💠
dotted	🫥,🔯
double	👯,👯‍♂,👯‍♀
doubt	🫤,🤷,🤷‍♂,🤷‍♀
doubtful	🫤
doughnut	🍩
dove	🕊
down	👇,👎,🐨,🫳,📩,📉,🔽,🔻
downcast	😓
downtrodden	🙎,🙎‍♂,🙎‍♀
downward	📉
downwards	🔽
dr	😷,🥼
dracula	🧛
dragon	🐲,🐉,🀄
drained	🪫
dream	💭
dreams	🌒,🌜
dress	👗,🥻,👚,👛,👜,👝,👠,👢
dressage	🐴
dressed	👕,👖,👗,👚
dribble	⛹️
drink	☕,🍵,🥤,🍺,🍼,🥛,🫖,🍶,🍾,🍷,🍸,🍹,🥂,🫗,🧉,🏺
drinking	🍺,🍷,🍸,🍹,🍻,🚰
drinks	🍺,🍷,🍸,🍹,🍻
drip	💦,🫟
drive	🚕,🚙,🚐,🚚,🚛
driving	🏌️,🚗,🏌‍♂,🏌‍♀
dromedary	🐪
drooling	🤤
drop	🫳,☔,💧,🩸
droplet	💦,💧
droplets	💦
dropped	🫳
drops	💦,☔
drought	🌵,🪾
drove	🚦,🚖,🚘
drugs	💊
drum	🥁,🛢,🪘
drumstick	🍗
drumsticks	🥁
drunk	🥴,🍹
dry	🚱
dua	🤲
duck	🦆,🪿
duckling	🦢
duel	🤼,🤼‍♂,🤼‍♀
dumpling	🥟
dung	💩
dunno	😕,🤷,🤷‍♂,🤷‍♀
dupe	♟️
dusk	🌆,🌇
dvd	💿,📀
dying	🥵,🥀
dynamite	🧨
eagle	🦅
ear	👯,🌽,👂,🦻,🧏,🧏‍♂,🧏‍♀,👯‍♂,👯‍♀,🌾
earbud	🎧
ears	👯,🙉,👂,👯‍♂,👯‍♀
earth	🌍,🌎,🌏,🌐
earthquake	🫨,🛘
earthworm	🪱
easy	🍳
eat	😋,🍔,🍽,🍴,🥄
edamame	🫛
edge	📏
education	📖,📚,🎒,🎓,📔,📕,📗,📘,📙
eek	😰
egg	🥚,🍳,🐣,🪺
eggplant	🍆
eggs	🪺
eight	🎱,🕗,🕣
eighteen	🔞
elderly	👵,🧓,👴
electric	💡,🔦,🚃,🔌
electrician	🧑‍🔧,👨‍🔧,👩‍🔧
electricity	🔌
electronic	🪫
elegant	🕺,💃,🌹
elephant	🐘
elevator	🛗
eleven	🕚,🕦
elf	🧝,🧝‍♂,🧝‍♀
elk	🫎
elves	🧝,🧝‍♂,🧝‍♀
email	📧,📨,📩,📤,📥
embarrass	🫢,🫣
embarrassed	😳,🫠,🥹,🙈
emblem	🔱
embrace	🫂
embroidery	🪡
emerge	🐦‍🔥
emergency	🚑,🚨,🦺
emoji	🤨
emotion	💘,💝,💖,💗,💓,💞,💕,💟,💔,🩷,💛,💚,💙,🩵,💜,🩶,💋
empanada	🥟
employed	👔
empty	🪹,🫗,🫙
enchantment	🧝,🧝‍♂,🧝‍♀
end	🔚
energy	🪫
engaged	💍
engagement	💎,💍
engine	🚒,🚂
engineer	🧑‍🔬,👨‍🔬,👩‍🔬
enraged	😡
ensnare	🪝
entertainer	🧑‍🎤,👨‍🎤,👩‍🎤
entertainment	🎣,🎭,🎨,🎲,🎯,🎮,🎠,🎆,📻
entry	🚫
envelope	🧧,📨,📩
epic	😜,😯,😱
equal	🟰
equality	🟰
equals	🟰
equestrian	🐎
equine	🐴
eruption	🌋
escargot	🐌
euro	🪙,💶
europe	🌍
european	🏰,🏤
evening	🌆
evergreen	🌲
everyone	👥
evidence	🧾
evil	😈,🦹,👿,🙈,🙉,🙊,🖤,🦹‍♂,🦹‍♀
evolution	🧬
ew	🤮
ewe	🐑
exasperation	🤦,🤦‍♂,🤦‍♀
exchange	💱
excited	😅,🤩,🥳,👻,👏,🤸,🎉,💖,💗,🤸‍♂,🤸‍♀
exercise	🙆,🙆‍♂,🙆‍♀
exhalation	🫁
exhale	😮‍💨
exhaling	😮‍💨
exhausted	😮‍💨,🫩
expendable	♟️
expensive	🫰
experiment	🥼,🧪,🔬
expert	🤓
explode	🤯,💥
exploding	🤯
explosion	💣
explosive	🧨
expressionless	😐,😑,😶
extinction	🦣,🦤
extinguish	🧯
extinguisher	🧯
extra	🛸
extraterrestrial	👽,👾,🔭
eye	😄,😁,😊,😍,😜,🤪,😝,👁️,👀,😚,😙,🫣,😸,😻,😽,👁‍🗨,👓,🕶,🥽
eyebrow	🤨,🥸
eyeglasses	👓
eyeroll	🙄
eyes	😃,😄,😁,😆,😊,🤩,🤪,😝,🙄,😵,🥺,👀,😚,😙,🫢,🫩,🥴,😵‍💫,😸,😽
eyewear	👓,🕶
face	😀,😃,😄,😁,😆,😅,🤣,😂,🙂,😉,😊,😇,🥰,😍,🤩,😘,😋,😜,🤪,😝,🤑,🤗,🤭,🤫,🤔,😐,😑,😶,😏,😒,🙄,😬,😌,😔,😪,🤤,😴,😷,🤒,🤕,🤢,🤧,🥵,🥶,😵,🤠,🥳,😎,🤓,🧐,😕,😟,🙁,😮,😯,😲,😳,🥺,😦,😧,😨,😰,😥,😢,😭,😱,😖,😞,😓,😩,😤,😡,😠,🤬,😈,💀,💩,🤡,👻,👀,👼,🗣️,🐻,🐶,🐱,🐭,🐹,🐰,🦊,🐼,🐨,🐯,🦁,🐮,🐷,🐸,🐵,🐺,🐴,🦄,🐳,🗿,🙃,🫠,😗,😚,😙,🥲,😛,🫢,🫣,🫡,🤐,🤨,🫥,😶‍🌫,😮‍💨,🤥,🫨,🫩,🤮,🥴,😵‍💫,🥸,🫤,🫪,🥹,😣,😫,🥱,👿,👹,👺,👽,👾,🤖,😺,😸,😹,😻,😼,😽,🙀,😿,😾,🙈,🙉,🙊,💆,💆‍♂,💆‍♀,🐽,🐲,🌚,🌛,🌜,🌝,🌞,🌬
facepalm	🤦,🤦‍♂,🤦‍♀
facepalming	🤦,🤦‍♂,🤦‍♀
facing	📄
factory	🧑‍🏭,👨‍🏭,👩‍🏭,🏭
fail	😞,😩
fairy	😇,😈,💀,👻,🤴,👸,👼,🎅,🤶,🧚,👿,👹,👺,👽,👾,🧑‍🎄,🧚‍♂,🧚‍♀,🧌,🐲,🐉,🔮
fairytale	😇,😈,💀,👻,🤴,👸,👼,🧚,🧜,👿,👹,👺,👽,👾,🧚‍♂,🧚‍♀,🧜‍♂,🧜‍♀,🐲,🐉,🔮
faithful	💯
falafel	🥙,🧆
fall	🍂
fallen	🍂
falling	🍁,🍂,🌠
family	👪,🧑‍🧑‍🧒,🧑‍🧑‍🧒‍🧒,🧑‍🧒,🧑‍🧒‍🧒,👑
fan	🪭
fancy	🧐,👗,👛,🎩
fangs	🧛,🧛‍♂,🧛‍♀
fantasy	😇,😈,👻,🤴,👸,👼,🎅,🤶,🧙,🧚,📖,📚,👿,👹,👺,👽,👾,🧑‍🎄,🧙‍♂,🧙‍♀,🧚‍♂,🧚‍♀,🧝,🧝‍♂,🧝‍♀,🧞,🧞‍♂,🧞‍♀,🧌,🐦‍🔥,🔮,📗,📘,📙
farewell	🫂
farm	🐮,🐷,🐴,🐎,🐖,🐑,🐐,🌽,🐂,🐄,🐽
farmer	🧑‍🌾,👨‍🌾,👩‍🌾
farming	🧺
fart	💨
fashion	👠
fast	🏃,🍔,🍟,💨,🏃‍♂,🏃‍♀,👟
fateh	🪯
father	🎅,👨‍🍼
fatigued	🫩
fatima	🪬
favor	🙇,🙇‍♂,🙇‍♀
fax	📠
fear	😨,😱,🫦
fearful	😨,😱
feather	🪶
feed	👩‍🍼,👨‍🍼,🧑‍🍼,🍴
feeding	🤱,👩‍🍼,👨‍🍼,🧑‍🍼
feelings	🥹
feels	😂,😍,😵,😢,😖,😓,😩,😤,😡,😠,😫
feet	🦶,🐾,👞
feline	🐈‍⬛
female	🐑
fencer	🤺
fencing	🤺
ferris	🎡
festival	🥮,🎎
festive	🕺,💃,🪅
fetch	💁,💁‍♂,💁‍♀
fever	🤧,🦟
feverish	🥵
field	🏑
fife	🪈
fight	🫯,🥷
fighter	🥷
file	📁,📂,🗃,🗄
filing	🗄
filling	🥧
film	🎥,🎞,📽,🎦
fine	😐,😑,😒
finger	🖖,🤞,🤘,👈,👉,👆,👇,☝️,🖐️,🫰,🖕,🫵
fingerprint	🫆
fingers	🤌,🤏,🤞,🤟,🖐️
fingers crossed	🤞
finish	🏁
fire	🔥,🚒,❤‍🔥,🧑‍🚒,👨‍🚒,👩‍🚒,🧨,🧯
firebird	🐦‍🔥
firecracker	🧨
firefighter	🧑‍🚒,👨‍🚒,👩‍🚒
firetruck	🧑‍🚒,👨‍🚒,👩‍🚒
fireworks	🎆,🎇,🧨
first	🥇,🌓,🌛
fish	🐡,🐠,🐟,🦈,🎣,🍥
fishes	🐠,🐟
fishing	🐟,🎣,🚣,🚣‍♂,🚣‍♀,🦦
fist	✊,👊,🤛,🤜
five	✋,🙏,🫷,🫸,🕔,🕠
fix	👷,👷‍♂,👷‍♀
flag	⛳,📫,📪,📬,📭,🏁,🚩,🏴,🏳,🏳‍🌈,🏳‍⚧,🏴‍☠
flags	🏁,🎌
flair	🕺,💃
flamboyant	🦩
flame	🔥
flamenco	🕺,💃
flamingo	🦩
flash	📸
flashlight	🔦
flat	🥿
flatbed	🛻
flatbread	🫓,🥙
flathead	🪛
flats	🥿
flautist	🪈
flavor	🧂
flavoring	🧄,🧅
fleek	👌,💯
flex	💪
flexed	💪
flick	💁,💁‍♂,💁‍♀
flight	✈️,🛫,🪶
flip	🤸,💁,💁‍♂,💁‍♀,🤸‍♂,🤸‍♀,🩴
flipper	🐬
flirt	😉,😘,😏,😗,😚,😙,🫦,🧑‍🤝‍🧑,👭,👫,👬,🪭
flirting	🫦
float	🛟
floating	🫧
flock	🪿
floor	🤣
flop	🩴
floppy	💾
flower	🌸,🌺,🌻,🌹,🌷,💐,💮,🪷,🥀,🌼,🪻,🎴
flu	🤧,💉
fluctuate	🪀
fluffy	🐑,🐩
flushed	😳
flute	🪈
flutter	🍃,🪭
fluttering	🍃
fly	🪁,✈️,🕊,🪽,🪰,💸
flying	🥏,✈️,🛸,🪽
fml	💩
focus	😣
fog	😶‍🌫,🌁,🌫
foggy	🌁
folded	🙏
folder	📁,📂
folding	🪭
folklore	🧜,🧜‍♂,🧜‍♀,🧝,🧝‍♂,🧝‍♀
fondue	🫕
food	😋,🦑,🦐,🍔,🍎,🫐,🥭,🥝,🍅,🥑,🥒,🥕,🥔,🍠,🥐,🍞,🥖,🥚,🥞,🥓,🍟,🍕,🥗,🍝,🍜,🍲,🍣,🍱,🍙,🍚,🍦,🍨,🍩,🍭,🫒,🫑,🥜,🫘,🍄‍🟫,🫜,🫓,🫔,🥙,🥘,🫕,🥫,🍘,🍛,🍢,🍥,🥡,🍯,🫖,🧋,🍴
foot	🦵,🦶,👞
football	⚽,🏈,🏉
footprint	👣
footprints	👣
for	🔰,🈺
forbidden	🙈,🙉,🙊,🙅,🙅‍♂,🙅‍♀,🔕,🚫,🚳,🚭,🚯,🚷,📵,🔞
force	🪠
forensics	🫆
forest	🌲,🌳,🫈
forgive	🙇,🙇‍♂,🙇‍♀
forgot	😮,😧,🙈
fork	🍽,🍴
formal	🤵,🤵‍♂,🤵‍♀,🎩
fortune	🥠,🔮,🪬,🔯
fosho	👌
fountain	⛲,🖋
four	🍀,🕓,🕟
fowl	🪿
fox	🦊
frame	🖼,🪟
framed	🖼
frames	🎞
frankfurter	🌭
free	🆓,🈶,🈚
freedom	⛓‍💥
freestyle	🏊,🏊‍♂,🏊‍♀
freezing	🥶
french	🥐,🥖,🍟
fresh	💈,🪟
fried	🍤
friend	👥
friends	🧑‍🤝‍🧑,👭,👫,👬,👥
friendship	🫂
fries	🍟
frog	🐸
from	😤
front	🚪
frostbite	🥶
frown	😕,🙁,😦,🙍,🙍‍♂,🙍‍♀,🙎,🙎‍♂,🙎‍♀
frowning	🙁,😦,🙍,🙍‍♂,🙍‍♀
fruit	🍏,🍎,🍐,🍊,🍋,🍌,🍉,🍇,🍓,🫐,🍈,🍒,🍑,🥭,🍍,🥝,🍅,🥑,🍋‍🟩,🥧
frustrated	😖,😠,🫤,🙍,🙍‍♂,🙍‍♀
frustration	🫤
fry	🍳
frying	🍳
fuel	⛽
fuelpump	⛽
fuji	🗻
full	😋,💯,🫃,🫄,🌕,🌝
fume	😤
fuming	😤
fungi	🍄‍🟫
fungus	🍄,🍄‍🟫
funny	🤣,😂,😜
furious	😤
fury	😤
futbol	⚽
future	🔮
gaggle	🪿
gains	💪
gait	🚶,🚶‍♂,🚶‍♀
gamble	🎰
gambling	🎰
game	🏐,🎱,🏓,🏸,🏒,🏏,🥌,🎲,🎯,🎳,🎮,🎰,👾,🏑,🕹,🃏,🀄,🎴,🏁
gamer	👾
games	👾
gander	🪿
gang	🚲
garbage	🗑
garden	🐛,🐌,🐞,🐜,🫜,🏡,👒,🪏
gardener	🧑‍🌾,👨‍🌾,👩‍🌾
garlic	🧄
garnish	🍋‍🟩
gas	⛽
gasoline	⛽
gasp	🫢,😮‍💨
gay	🌈,🏳‍🌈
gear	⚙️
geek	🤓
geese	🪿
geez	😳
gem	💎,🪎
genderqueer	🌈,🏳‍🌈
gene	🧬
genetics	🧬
genie	🧞,🧞‍♂,🧞‍♀
geometric	🔴,🔵,🔶,🔷,🔸,🔹,🔺,🔻,💠,🔘,🔳,🔲
germs	😷
gesture	🤌,🤟,🙌,🙏,🙈,🙉,🙊,🙍,🙍‍♂,🙍‍♀,🙅,🙅‍♂,🙅‍♀,🙆,🙆‍♂,🙆‍♀,🙋,🙋‍♂,🙋‍♀,🧏,🧏‍♂,🧏‍♀,🙇,🙇‍♂,🙇‍♀
gesturing	🙅,🙅‍♂,🙅‍♀,🙆,🙆‍♂,🙆‍♀
gesundheit	🤧
getting	💆,💆‍♂,💆‍♀,💇,💇‍♂,💇‍♀
ghost	👻
giant	🫈
gibbous	🌔,🌖
gift	🎁,🧧
gifted	🤓
giggle	🤭
giggling	🤭
ginger	🦰,🫚
giraffe	🦒
girl	👧
girls	👭
glad	😊,🥲
glass	🔍,🥛,🍷,🍸,🥂,🥃,🫗,🔎
glasses	🤓,🥸,🥂,👓,🕶
glbt	🌈,🏳‍🌈
glbtq	🌈,🏳‍🌈
glitter	🪩
glittery	🌟
globe	🌍,🌎,🌏,🌐
glory	🐦‍🔥
glove	🥎,🥊
gloves	🧤
glow	🌟
glowing	🌟
go	💨
goal	🥍,🥅
goat	🐐
gobble	🦃
goblin	👺
goggles	🥽
gold	🥇,🏅,💰,🪙,🪎
golf	⛳,🏌️,🏌‍♂,🏌‍♀,🚩
golfing	🏌️,🏌‍♂,🏌‍♀
gondola	🚠,🚡
gone	💨
goo	👶
good	😪,😴,👍,👎,👏,🦸,🫡,💖,💤,🦸‍♂,🦸‍♀,🛌,🧧
good morning	☀️,🌅,☕
good night	🌙,😴,💤
goodbye	🫂
goodnight	😴,🥱,💤,🛌
goofy	🤪
googly	👀
goose	🪿
gordita	🫓
gorilla	🦍
gossip	💁,💁‍♂,💁‍♀
got	👌
gotcha	👌
gotta	💨
grade	🈴
graduate	🧑‍🎓,👨‍🎓,👩‍🎓
graduation	🎓
grain	🍞,🌾
grains	🌾
gramps	👴
grandchild	🧒
granddaughter	👧
grandfather	👴
grandma	👵
grandmother	👵
grandpa	👴
grandparent	🧓
grandson	👦
granny	👵
grape	🍇
grapes	🍇
graph	💹,📈,📉,📊
grapple	🤼,🤼‍♂,🤼‍♀
grasshopper	🦗
grateful	🥲,🥹
gratitude	🥹
grave	🪦
graveyard	🪦
gray	🩶,🦳
great	👏
green	🌳,🍏,🥬,🥗,🏌️,💚,🏌‍♂,🏌‍♀,📗,🔰,🟢,🟩
greetings	👋
grey	🩶
grimace	😬,🙎,🙎‍♂,🙎‍♀
grimacing	😬
grin	😀,😃,😄,😁,😸
grinning	😀,😃,😄,😁,😆,😅,🤩,😬,😺,😸
grizzly	🐻
groan	😮‍💨
groom	🤵‍♂,💇,💇‍♂,💇‍♀,🪮
groove	🕺,💃
gross	😝,🤢,🤮
grow	🪴
growing	💗
growl	🐻
growth	🌷,💹,📈
gtg	👋
gua	👲
guanaco	🦙
guapi	👲
guard	😦,💂,💂‍♂,💂‍♀
guess	🤷,🤷‍♂,🤷‍♀
guide	🦮,🪬
guitar	🎸
gun	🔫
gym	💪,🏋️
gymnastics	🤸,🤸‍♂,🤸‍♀
gyro	🥙
habitat	🌳
haha	😆,🤣,😂,🫠
hahaha	😆
hail	🚖
hair	👱,👱‍♂,👱‍♀,💇,💇‍♂,💇‍♀,🦰,🦱,🦳,🦲,🪮
haircut	💇,💇‍♂,💇‍♀,💈
hairless	🦲
hairy	🫈
hajj	🕋
halloween	🎃,👻,🧛,🍫,🍬,🧛‍♂,🧛‍♀,🧟,🧟‍♂,🧟‍♀,🐈‍⬛
halo	😇
halt	🫷,🫸
hamburger	🍔
hammer	🔨,🛠
hamsa	🪬
hamster	🐹
hand	🤭,👋,🤚,✋,🖖,👌,🤌,🤏,✌️,🤞,🤟,🤘,🤙,👈,👉,👆,👇,☝️,👍,👎,✊,👊,👏,🙌,👐,🤝,🙏,🖐️,🫢,🫱,🫲,🫳,🫴,🫷,🫸,🫰,🖕,🫵,🙅,🙅‍♂,🙅‍♀,🙆,🙆‍♂,🙆‍♀,💁,💁‍♂,💁‍♀,🙋,🙋‍♂,🙋‍♀,🧑‍🤝‍🧑,👭,👫,👬,🧤,🪭,🪬
handbag	👛,👜,👝
handball	🤾,🤾‍♂,🤾‍♀
handgun	🔫
handle	🍵,🤹,🤹‍♂,🤹‍♀
hands	🤗,🖖,👏,🙌,👐,🤲,🙏,🫶,🧑‍🤝‍🧑,👭,👫,👬
handshake	🤝,🫱,🫲
handy	🪛
hang	🤙
hanukkah	🕎
happy	😀,😃,😄,😁,😆,🤣,😂,🙂,😇,🥳,🎂,🤸,🥲,🤸‍♂,🤸‍♀
happy birthday	🎂,🎉,🥳,🎈
happy new year	🎉,🥂,🎆
hard	🦻
hardhat	👷,👷‍♂,👷‍♀
harp	🪉
hashi	🥢
hat	🤠,🥳,👷,👲,👷‍♂,👷‍♀,👒,🎩,🎓,🧢
hatchet	🪓
hatching	🐣
hats	👒
haunting	👻
head	🤯,🧕,🗣️,😶‍🌫,🙂‍↔,🙂‍↕
headache	😓,😣,💆,💆‍♂,💆‍♀
headphone	🎧
headscarf	🧕
headstone	🪦
health	🍎,🧑‍⚕,👨‍⚕,👩‍⚕,🫚
healthcare	🧑‍⚕,👨‍⚕,👩‍⚕
healthier	❤‍🩹
hear	🙉,👂,🧏,🧏‍♂,🧏‍♀
hearing	👂,🦻
heart	🥰,😘,😻,💌,💘,💝,💖,💗,💓,💞,💕,💟,💔,❤‍🔥,❤‍🩹,🩷,🧡,💛,💚,💙,🩵,💜,🤎,🖤,🩶,🤍,💋,🫰,🫶,🫀,💏,💑,🏠,🏡,🩺
heart eyes	😍
heartbeat	💓,🫀
heartbreaker	😉
heartbroken	💔
hearth	💟
heartpulse	💗
hearts	🥰,😍,💞,💕
heat	🥵,😳,🫠,🌞
heavenly	🪽
heavy	🪨,🟰,💲
hedgehog	🦔
heel	👠
heels	👠
hehe	🤣,😂,🙃
helicopter	🚁
hello	👋,🫂
helmet	💂,💂‍♂,💂‍♀,🪖
help	🩼,🆘
herb	🌿,🫚
herd	🦬
here	🙋,🙋‍♂,🙋‍♀,🈁
hero	🦸,🦸‍♂,🦸‍♀
heroine	🦸‍♀
hey	👋
hi	👋
hibiscus	🌺
hidden	🫥,🥷
hide	🫣,🫥,🙈
hiding	🫣
high	✋,🙏,🫷,🫸,🔊
high five	🙌,✋
highway	🛣️
hijab	🧕
hike	🚶,🚶‍♂,🚶‍♀
hiking	🥾
hilarious	🤣,😂
hindu	🛕,🕉
hinduism	🪷
hinny	🫏
hippo	🦛
hippopotamus	🦛
hit	🎯
hitched	💒
hm	😕
hmm	🤔,🤨
hocho	🔪
hockey	🏒,🏑
hoist	🛗
hold	🤌,🫱,🫲,🫴,🫷,🫸,🧑‍🤝‍🧑,👭,👫,👬
holding	🥹,🧑‍🤝‍🧑,👭,👫,👬
hole	⛳,🕳,🪏
holi	🫟
holiday	🎅,🤶,🧑‍🎄
hollywood	🎥
home	🔨,🪹,🛖,🏚,🏠,🏡,🔧,🔩
homie	😏,👏,🔝
honey	🐻,🐝,🦡,🍯
honeybee	🐝
honeypot	🍯
honk	🪿
hook	🪝
hoop	🏀
hooray	🥳,🙌,🎉
horizontal	🚥
horizontally	🙂‍↔
horn	🥳,📯
horns	😈,🤘,👿,🐏
horrible	😝
horror	🧟,🧟‍♂,🧟‍♀
horse	🐴,🐎,🏇,🎠
horses	🐴
horseshoe	🧲
hospital	🏥
hot	🥵,😳,🔥,🌶️,🌭,☕,💣,🫠,🪭
hotcake	🥞
hotdog	🌭
hotel	🛌,🏨,🏩,🛎,🛍,🛏,🛋
hotspot	🛜
hours	⏰,🏪
house	🪴,🛖,🏘,🏚,🏠,🏡
houses	🏘
hrs	⏰
hug	🤗,👐,🫂
hugging	🤗,🫂
huh	🤌
human	👱
hump	🐪,🐫
hundred	💯
hungry	😋,😩,🍔,🍕,🍗,🍴
hurl	🤾,🤾‍♂,🤾‍♀
hurricane	🌀
hurry	🏃,🏃‍♂,🏃‍♀
hurt	🤕,🩼
hushed	😯
hut	🛖
hyacinth	🪻
hygiene	🪥
hypnotized	😵‍💫
ice	🍦,🍧,🍨,🏒,⛸️,🧊
iceberg	🧊
icecream	🍦
icicles	🥶
id	🪪,🆔
idea	💡,💭
identical	👯,👯‍♂,👯‍♀
identification	🪪
identity	🫆,🆔
ideograph	🈷,🈶,🈯,🉐,🈹,🈚,🈲,🉑,🈸,🈴,🈳,🈺,🈵
idk	🤷,🤷‍♂,🤷‍♀
ignorance	🤷,🤷‍♂,🤷‍♀
ill	🤒
ily	🥰,😍,😘,🤟,😗,😚,😙,💘,💝,💖,💗,💓,💕,🩷,💛,💚,💙,🩵,💜,🩶
immortal	🐦‍🔥
imp	👿
impressed	😳
improvement	🔨,🔧,🔩
improving	❤‍🩹
in	😱,🤵,👤,🍃,⛳,🧘,😶‍🌫,👁‍🗨,🤵‍♂,🤵‍♀,🧑‍🦼,👨‍🦼,👩‍🦼,🧑‍🦽,👨‍🦽,👩‍🦽,🕴,🧖,🧖‍♂,🧖‍♀,🧘‍♂,🧘‍♀,🛌,👥,🚮
inbox	📥
incognito	🥸
incoming	📨
increasing	💹,📈
indecisive	🧇
index	👈,👉,👆,👇,☝️,🫰,🫵,🗂,📇
indifference	🤷,🤷‍♂,🤷‍♀
indigo	🪻
industrial	🧑‍🏭,👨‍🏭,👩‍🏭
inexpressive	😑
infant	👶,🍼
inhalation	🫁
injured	🩼
injury	🤕,🩸
ink	🔏,🫟
innocent	😇
input	🔠,🔡,🔢,🔣,🔤
insect	🐝,🐛,🦋,🐞,🐜,🪲,🦗,🪳,🕷,🦟,🪰
instructor	🧑‍🏫,👨‍🏫,👩‍🏫
instrument	🎹,🎷,🎺,🎸,🎻,🪊,🪗,🪘,🪇,🪈,🪉
intelligent	🤓,🧠
interlocking	🧩
internet	🌐,🛜
interrogation	🤌
intersection	🚥,🚦
intoxicated	🥴
introvert	🫥
invent	💭
invention	💭
inventor	🧑‍💻,👨‍💻,👩‍💻
invertebrate	🪼
invisible	🫥
invoice	🧾
irish	☘️,🍀
iron	🧇
ironic	😼
irritated	🙍,🙍‍♂,🙍‍♀
islam	🕌,🕋
island	🏝️
jack	🎃
jacked	💪
jacket	🥼,🧥
japan	🗾
japanese	🍙,🏯,🍡,🏣,🎋,🎍,🎎,🎴,🔰,🈁,🈂,🈷,🈶,🈯,🉐,🈹,🈚,🈲,🉑,🈸,🈴,🈳,🈺,🈵,🎌
jar	🍯,🫙
jazz	👐,🪊
jealous	😐,😑,😒
jeans	👖
jeez	😳
jel	😒
jelly	😒,🪼
jellyfish	🪼
jeotgarak	🥢
jet	✈️
jew	🕍
jewel	💎
jewels	🪎
jewish	🕍,🕎,🔯
jiaozi	🥟
jigsaw	🧩
jinn	🧞,🧞‍♂,🧞‍♀
job	👏,🏢
jockey	🏇
joey	🦘
joke	😜
joker	🃏
jolly	🏴‍☠
journey	🛄
joy	🤣,😂,🥲,🥹,😹
joystick	🕹
judaism	🕍,🕎,🔯
judge	🧑‍⚖,👨‍⚖,👩‍⚖
judo	🥋
jug	🏺
juggle	🤹,🤹‍♂,🤹‍♀
juggling	🤹,🤹‍♂,🤹‍♀
juice	🧃,🥤
jump	🦘
justice	🧑‍⚖,👨‍⚖,👩‍⚖
kaaba	🕋
kale	🥬
kangaroo	🦘
karaoke	🎤
karate	🥋
katakana	🈁,🈂
kebab	🥙,🍢
keep	🤐,💯
kerchief	🧕
key	🔑,🍋‍🟩,🔐,🗝
keyboard	🎹,⌨️
keys	🔑
khalsa	🪯
khanda	🪯
kick	🛴,🦵,🦶,👞,👟
kid	👧,🧒,👦
kidding	😏
kidney	🫘
kimono	👘
king	🤴,👑
kiss	😘,💋,😗,😙,😽,👄,🫦,💏,💑
kisses	😍,😚,😙,💝,💖,💗,💕
kissing	😗,😚,😙,😽,💋,👄
kitchen	🔪
kite	🪁
kitten	🐱,🐈
kitty	🐱
kiwi	🥝
knee	🦵
kneel	🧎,🧎‍♂,🧎‍♀
kneeling	🧎,🧎‍♂,🧎‍♀
knees	🧎,🧎‍♂,🧎‍♀
knife	🍽,🍴,🔪,🗡
knights	🐉
knit	🧶
knobs	🎛
knocked	😵
knot	🪢
know	🫴,🙋,🙋‍♂,🙋‍♀
knowledge	📖,📚
knows	🤷,🤷‍♂,🤷‍♀
knuckle	👊
koala	🐨
kuaizi	🥢
lab	🔍,🥼,🔎,🧪,🧫,🔬
label	🏷
lacrosse	🥍
ladder	🪜
lady	👩,👵,🐞,👚,👜
ladybird	🐞
ladybug	🐞
lai	🧧
lake	🚣,🚤,🚣‍♂,🚣‍♀
lamb	🐑
lambchop	🥩
lamp	🧞,🧞‍♂,🧞‍♀,🪔,🛋
landing	🛬
landscape	🌆
landslide	🛘
lantern	🎃,🏮
laptop	💻
large	🤪,🦣,🦤,🌥,🔶,🔷
last	🌗,🌜
late	⏰,🫩
later	👋
lather	🧼
latin	🔠,🔡,🔤
laugh	😀,😄,😆,🤣,😂,😹
laughing	🤣,😹
launch	🚀
laundry	🧺
lavash	🫓
lavatory	🚹,🚺,🚻,🚾
lavender	🪻
law	👮,🧑‍⚖,👨‍⚖,👩‍⚖,👮‍♂,👮‍♀
lazy	🦥
leaf	🌿,🍀,🍁,🍂,🍃,🔰
leafless	🪾
leafy	🥬
lecturer	🧑‍🏫,👨‍🏫,👩‍🏫
ledger	📒
leer	😏
left	👈,🔍,🗨,🫲,🛅
leftward	🫲,🫷
leftwards	🫲,🫷,🤛
leg	🦿,🦵,🍗
legged	🧘,🧘‍♂,🧘‍♀
legit	👌
legs	🧘,🧘‍♂,🧘‍♀
legume	🫘,🫛
lemon	🍋
leo	🦁
leopard	🐆
lesbian	🌈,🏳‍🌈
letter	💌,📧,📨,📩,📤,📥
